snum,months,days,sex,cond,GNG,gazeOnOff,trial,trialType,startTime,endTime,duration
134,10,14,,2,1,1,1,Fam Trial,0,5.506192099768668,5.506192099768668
134,10,14,,2,1,0,1,Fam Trial,5.506199599709362,7.041958800051361,1.5357592003419995
134,10,14,,2,1,1,1,Fam Trial,7.041947499848902,11.847458599600941,4.805511099752039
134,10,14,,2,1,0,1,Fam Trial,11.847471799701452,13.081089099869132,1.2336173001676798
134,10,14,,2,1,1,1,Fam Trial,13.081079199910164,17.08472429960966,4.003645099699497
134,10,14,,2,1,0,1,Fam Trial,17.08473309967667,17.583929599728435,0.49919650005176663
134,10,14,,2,1,1,1,Fam Trial,17.583925399929285,18.185358099639416,0.6014326997101307
134,10,14,,2,1,0,1,Fam Trial,18.18536499980837,20.188541499897838,2.0031765000894666
134,10,14,,2,1,1,2,Fam Trial,0,5.974056999664754,5.974056999664754
134,10,14,,2,1,0,2,Fam Trial,5.974065999966115,7.977415099740028,2.0033490997739136
134,10,14,,2,1,1,3,Test Trial,0,2.4685276998206973,2.4685276998206973
134,10,14,,2,1,0,3,Test Trial,2.4685308998450637,4.236979499924928,1.7684486000798643
134,10,14,,2,1,1,3,Test Trial,4.236975300125778,6.072046900168061,1.8350716000422835
134,10,14,,2,1,0,3,Test Trial,6.072050000075251,7.943173999898136,1.8711239998228848
134,10,14,,2,1,1,3,Test Trial,7.943159699905664,11.580593300051987,3.6374336001463234
134,10,14,,2,1,0,3,Test Trial,11.580610699951649,12.21243580011651,0.6318251001648605
134,10,14,,2,1,1,3,Test Trial,12.212429100181907,13.412772300187498,1.200343200005591
134,10,14,,2,1,0,3,Test Trial,13.41277669975534,15.41641389997676,2.0036372002214193
134,10,14,,2,1,1,4,Test Trial,0,2.87009479990229,2.87009479990229
134,10,14,,2,1,0,4,Test Trial,2.870100600179285,3.336778999771923,0.466678399592638
134,10,14,,2,1,1,4,Test Trial,3.336775300092995,12.012572600040585,8.67579729994759
134,10,14,,2,1,0,4,Test Trial,12.01257889997214,13.016224400140345,1.0036455001682043
134,10,14,,2,1,1,4,Test Trial,13.016207700129598,18.421614299993962,5.405406599864364
134,10,14,,2,1,0,4,Test Trial,18.4216311997734,19.553145200014114,1.1315140002407134
134,10,14,,2,1,1,4,Test Trial,19.553139000199735,19.986874599941075,0.4337355997413397
134,10,14,,2,1,0,4,Test Trial,19.986879900097847,21.991712599992752,2.004832699894905
134,10,14,,2,1,1,5,Test Trial,0,10.042551099788398,10.042551099788398
134,10,14,,2,1,0,5,Test Trial,10.04255609959364,11.143105499912053,1.100549400318414
134,10,14,,2,1,1,5,Test Trial,11.143101499881595,14.813939400017262,3.670837900135666
134,10,14,,2,1,0,5,Test Trial,14.813944999594241,15.214059999678284,0.40011500008404255
134,10,14,,2,1,1,5,Test Trial,15.214055999647826,22.690700999926776,7.47664500027895
134,10,14,,2,1,0,5,Test Trial,22.690716799814254,23.455482099670917,0.7647652998566628
134,10,14,,2,1,1,5,Test Trial,23.455477699637413,24.656902299728245,1.2014246000908315
134,10,14,,2,1,0,5,Test Trial,24.65690639987588,26.525512599851936,1.8686061999760568
134,10,14,,2,1,1,5,Test Trial,26.525507899932563,27.827792499680072,1.3022845997475088
134,10,14,,2,1,0,5,Test Trial,27.82780039962381,29.831569799687713,2.003769400063902
134,10,14,,2,1,1,6,Test Trial,0,5.136497699655592,5.136497699655592
134,10,14,,2,1,0,6,Test Trial,5.136500999797136,5.540253099985421,0.4037521001882851
134,10,14,,2,1,1,6,Test Trial,5.54023509984836,6.941339099779725,1.4011039999313653
134,10,14,,2,1,0,6,Test Trial,6.941355200018734,7.740493000019342,0.799137800000608
134,10,14,,2,1,1,6,Test Trial,7.740484899841249,8.940697299782187,1.2002123999409378
134,10,14,,2,1,0,6,Test Trial,8.940702499821782,9.908944899681956,0.9682423998601735
134,10,14,,2,1,1,6,Test Trial,9.908938500098884,10.344863699749112,0.435925199650228
134,10,14,,2,1,0,6,Test Trial,10.344879699870944,12.34709919989109,2.0022195000201464
