snum,months,days,sex,cond,GNG,gazeOnOff,trial,trialType,startTime,endTime,duration
149,10,16,,1,0,1,1,Fam Trial,0,1.9426552080003603,1.9426552080003603
149,10,16,,1,0,0,1,Fam Trial,1.9426587080015452,2.2667176249997283,0.3240589169981831
149,10,16,,1,0,1,1,Fam Trial,2.2667158330004895,3.441677165999863,1.1749613329993736
149,10,16,,1,0,0,1,Fam Trial,3.441679250001471,5.446338708003168,2.004659458001697
149,10,16,,1,1,1,1,Fam Trial,0,21.569152625001152,21.569152625001152
149,10,16,,1,1,0,1,Fam Trial,21.569154584001808,22.2441507500007,0.6749961659988912
149,10,16,,1,1,1,1,Fam Trial,22.24414891700144,26.961304542001017,4.717155624999577
149,10,16,,1,1,0,1,Fam Trial,26.9613108750018,27.544110459002695,0.5827995840008953
149,10,16,,1,1,1,1,Fam Trial,27.54410862500299,28.84409479200258,1.299986166999588
149,10,16,,1,1,0,1,Fam Trial,28.844097000001057,30.00248187500256,1.1583848750015022
149,10,16,,1,1,1,2,Fam Trial,0,2.912901667001279,2.912901667001279
149,10,16,,1,1,0,2,Fam Trial,2.9129035840014694,3.446178666999913,0.5332750829984434
149,10,16,,1,1,1,2,Fam Trial,3.446176834000653,4.737884750000376,1.291707915999723
149,10,16,,1,1,0,2,Fam Trial,4.737886959002935,6.741574084000604,2.0036871249976684
149,10,16,,1,1,1,3,Test Trial,0,1.9076519579975866,1.9076519579975866
149,10,16,,1,1,0,3,Test Trial,1.9076540409987501,2.3590368749974004,0.4513828339986503
149,10,16,,1,1,1,3,Test Trial,2.359035124998627,4.286636540997279,1.9276014159986516
149,10,16,,1,1,0,3,Test Trial,4.286638833000325,5.267133499997726,0.9804946669974015
149,10,16,,1,1,1,3,Test Trial,5.267131665998022,7.673999957998603,2.4068682920005813
149,10,16,,1,1,0,3,Test Trial,7.674002040999767,8.328246790999401,0.6542447499996342
149,10,16,,1,1,1,3,Test Trial,8.328244707998238,9.561584415998368,1.2333397080001305
149,10,16,,1,1,0,3,Test Trial,9.561586499999976,11.56298683299974,2.001400332999765
149,10,16,,1,1,1,4,Test Trial,0,1.9079696670014528,1.9079696670014528
149,10,16,,1,1,0,4,Test Trial,1.9079716670021298,3.9117637920026027,2.003792125000473
149,10,16,,1,0,1,5,Test Trial,0,4.937834708001901,4.937834708001901
149,10,16,,1,0,0,5,Test Trial,4.937836666002113,6.287825125000381,1.3499884589982685
149,10,16,,1,0,1,5,Test Trial,6.287823416001629,9.767698208001093,3.479874791999464
149,10,16,,1,0,0,5,Test Trial,9.767700166001305,11.218128666001576,1.450428500000271
149,10,16,,1,0,1,5,Test Trial,11.218126874999143,13.096085583001695,1.8779587080025522
149,10,16,,1,0,0,5,Test Trial,13.096087750000152,14.421109540999169,1.325021790999017
149,10,16,,1,0,1,5,Test Trial,14.421107707999909,15.500938707999012,1.0798309999991034
149,10,16,,1,0,0,5,Test Trial,15.500940791000176,15.971124750001763,0.47018395900158794
149,10,16,,1,0,1,5,Test Trial,15.971122999999352,17.165427874999295,1.1943048749999434
149,10,16,,1,0,0,5,Test Trial,17.16542995800046,19.17114033300095,2.00571037500049
149,10,16,,1,1,1,5,Test Trial,0,4.941372582998156,4.941372582998156
149,10,16,,1,1,0,5,Test Trial,4.941374624999298,6.178542833000392,1.2371682080010942
149,10,16,,1,1,1,5,Test Trial,6.17854104199796,10.078484541998478,3.899943500000518
149,10,16,,1,1,0,5,Test Trial,10.078486582999176,11.170215375001135,1.091728792001959
149,10,16,,1,1,1,5,Test Trial,11.170213375000458,13.111855708000803,1.9416423330003454
149,10,16,,1,1,0,5,Test Trial,13.11185787499926,14.461836499998753,1.349978624999494
149,10,16,,1,1,1,5,Test Trial,14.461834458001249,17.345111792001262,2.883277334000013
149,10,16,,1,1,0,5,Test Trial,17.345113832998322,18.778445457999624,1.4333316250013013
149,10,16,,1,1,1,5,Test Trial,18.778443416998925,20.04947770799845,1.2710342909995234
149,10,16,,1,1,0,5,Test Trial,20.04947974999959,21.97012999999788,1.920650249998289
149,10,16,,1,1,1,5,Test Trial,21.97012800000084,23.036821624998993,1.0666936249981518
149,10,16,,1,1,0,5,Test Trial,23.036823999998887,24.359019832998456,1.3221958329995687
149,10,16,,1,1,1,5,Test Trial,24.359017708000465,26.661699832999147,2.3026821249986824
149,10,16,,1,1,0,5,Test Trial,26.661701958000776,28.661782041999686,2.0000800839989097
149,10,16,,1,1,1,6,Test Trial,0,1.3832845840006485,1.3832845840006485
149,10,16,,1,1,0,6,Test Trial,1.3832865840013255,2.533287250000285,1.1500006659989594
149,10,16,,1,1,1,6,Test Trial,2.5332854590014904,3.7082764170008886,1.1749909579993982
149,10,16,,1,1,0,6,Test Trial,3.7082783750011004,4.871957999999722,1.1636796249986219
149,10,16,,1,1,1,6,Test Trial,4.871956250000949,7.099918916999741,2.227962666998792
149,10,16,,1,1,0,6,Test Trial,7.099921084001835,7.955714167001133,0.8557930829992983
149,10,16,,1,1,1,6,Test Trial,7.955712124999991,9.224903375001304,1.2691912500013132
149,10,16,,1,1,0,6,Test Trial,9.224905417002446,11.229744542000844,2.004839124998398
