Recording date:	2026/01/31
Recording time:	10:38:36
Recording resolution:	1920 x 1080
PsychoPy units:	pix
Session Start
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	PupilSizeLeft	PupilValidityLeft	PupilSizeRight	PupilValidityRight	PupilSize
-741.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-737.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-733.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-729.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-725.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-721.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-717.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-713.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-709.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-705.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-701.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-697.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-693.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-689.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-685.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-681.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-677.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-673.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-669.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-665.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-661.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-657.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-653.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-649.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-645.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-641.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-637.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-633.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-629.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-625.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-621.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-617.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-613.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-609.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-605.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-601.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-597.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-593.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-589.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-585.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-581.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-577.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-573.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-569.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-565.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-561.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-557.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-553.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-549.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-545.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-541.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-537.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-533.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-529.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-525.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-521.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-517.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-513.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-509.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-505.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-501.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-497.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-493.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-489.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-485.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-481.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-477.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-473.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-469.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-465.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-461.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-457.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-453.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-449.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-445.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-441.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-437.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-433.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-429.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-425.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-421.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-417.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-413.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-409.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-405.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-401.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-397.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-393.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-389.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-385.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-381.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-377.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-373.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-369.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-365.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-361.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-357.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-353.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-349.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-345.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-341.9	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-338.0	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-334.0	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-330.0	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-326.0	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-322.0	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-318.0	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-314.0	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
-310.0	nan	nan	0	nan	nan	0	nan	nan	nan	0	nan	0	nan
