device_time_stamp,left_gaze_point_on_display_area,right_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_validity,off_screen,gaze_event_tag,trial_type,event_info
-612.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-608.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-604.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-600.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-596.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-592.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-588.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-584.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-580.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-576.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-572.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-568.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-564.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-560.1,"(nan, nan)","(nan, nan)",0,0,1,,,
-556.0,"(nan, nan)","(nan, nan)",0,0,1,,,
-552.0,"(0.5755208333333334, -0.10833333333333334)","(nan, nan)",1,0,0,,,
-548.0,"(0.56875, -0.1648148148148148)","(0.53125, -0.1527777777777778)",1,1,0,,,
-544.0,"(nan, nan)","(nan, nan)",0,0,1,,,
-540.0,"(nan, nan)","(0.5510416666666667, -0.14166666666666666)",0,1,0,,,
-536.0,"(nan, nan)","(0.521875, -0.13703703703703704)",0,1,1,,,
-532.0,"(0.5526041666666667, -0.13518518518518519)","(nan, nan)",1,0,0,,,
-528.0,"(nan, nan)","(0.5447916666666667, -0.17407407407407408)",0,1,0,,,
-524.0,"(0.5354166666666667, -0.09722222222222222)","(0.5197916666666667, -0.15833333333333333)",1,1,1,,,
-520.0,"(nan, nan)","(0.5244791666666667, -0.0712962962962963)",0,1,1,,,
-515.9,"(nan, nan)","(0.5302083333333333, -0.08703703703703704)",0,1,1,,,
-511.9,"(0.5692708333333333, -0.11666666666666667)","(0.49895833333333334, -0.05)",1,1,1,,,
-507.9,"(0.5682291666666667, -0.06111111111111111)","(0.5192708333333333, -0.15185185185185185)",1,1,0,,,
-503.9,"(nan, nan)","(0.5192708333333333, -0.1675925925925926)",0,1,1,,,
-499.9,"(0.5713541666666667, -0.17685185185185184)","(0.5380208333333333, -0.14814814814814814)",1,1,0,,,
-495.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-491.9,"(nan, nan)","(0.5197916666666667, -0.13425925925925927)",0,1,1,,,
-487.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-483.9,"(0.5322916666666667, -0.14907407407407408)","(0.5328125, -0.13240740740740742)",1,1,1,,,
-479.9,"(0.5526041666666667, -0.1814814814814815)","(0.5369791666666667, -0.1537037037037037)",1,1,0,,,
-475.9,"(0.5463541666666667, -0.16574074074074074)","(0.5427083333333333, -0.10925925925925926)",1,1,0,,,
-471.9,"(0.5442708333333334, -0.13148148148148148)","(0.5354166666666667, -0.125)",1,1,0,,,
-467.9,"(nan, nan)","(0.5458333333333333, -0.1685185185185185)",0,1,0,,,
-463.9,"(0.553125, -0.1574074074074074)","(0.5239583333333333, -0.0962962962962963)",1,1,1,,,
-459.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-455.9,"(nan, nan)","(0.5265625, -0.15462962962962962)",0,1,1,,,
-451.9,"(nan, nan)","(0.5244791666666667, -0.1361111111111111)",0,1,1,,,
-447.9,"(nan, nan)","(0.5239583333333333, -0.14907407407407408)",0,1,1,,,
-443.9,"(nan, nan)","(0.5328125, -0.1388888888888889)",0,1,1,,,
-439.9,"(nan, nan)","(0.5317708333333333, -0.16018518518518518)",0,1,1,,,
-435.9,"(0.5432291666666667, -0.10833333333333334)","(0.5255208333333333, -0.15648148148148147)",1,1,1,,,
-431.9,"(0.5567708333333333, -0.13148148148148148)","(0.515625, -0.17037037037037037)",1,1,1,,,
-427.9,"(nan, nan)","(0.5447916666666667, -0.11388888888888889)",0,1,0,,,
-423.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-419.9,"(nan, nan)","(0.5432291666666667, -0.15555555555555556)",0,1,0,,,
-415.9,"(0.5703125, -0.11388888888888889)","(0.5484375, -0.12314814814814815)",1,1,0,,,
-411.9,"(nan, nan)","(0.5359375, -0.10740740740740741)",0,1,1,,,
-407.9,"(nan, nan)","(0.5338541666666666, -0.14629629629629629)",0,1,1,,,
-403.9,"(0.5598958333333334, -0.11481481481481481)","(0.5484375, -0.06944444444444445)",1,1,0,,,
-399.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-395.9,"(nan, nan)","(0.5708333333333333, -0.06481481481481481)",0,1,0,,,
-391.9,"(nan, nan)","(0.5260416666666666, -0.05925925925925926)",0,1,1,,,
-387.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-383.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-379.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-375.9,"(nan, nan)","(0.5567708333333333, -0.09444444444444444)",0,1,0,,,
-371.9,"(0.5546875, -0.11296296296296296)","(0.5359375, -0.12962962962962962)",1,1,0,,,
-367.9,"(nan, nan)","(0.5567708333333333, -0.10185185185185185)",0,1,0,,,
-363.9,"(0.5515625, -0.1675925925925926)","(0.5546875, -0.12685185185185185)",1,1,0,,,
-359.9,"(nan, nan)","(0.5286458333333334, -0.14907407407407408)",0,1,1,,,
-355.9,"(0.5869791666666667, -0.10925925925925926)","(0.55, -0.09351851851851851)",1,1,0,,,
-351.9,"(0.5494791666666666, -0.09259259259259259)","(nan, nan)",1,0,0,,,
-347.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-343.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-339.9,"(nan, nan)","(0.5416666666666666, -0.13148148148148148)",0,1,0,,,
-335.9,"(nan, nan)","(0.5463541666666667, -0.10277777777777777)",0,1,0,,,
-331.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-327.9,"(0.5760416666666667, -0.13703703703703704)","(nan, nan)",1,0,0,,,
-323.9,"(nan, nan)","(0.5244791666666667, -0.13518518518518519)",0,1,1,,,
-319.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-315.9,"(0.5765625, -0.15925925925925927)","(0.5526041666666667, -0.08796296296296297)",1,1,0,,,
-311.9,"(0.565625, -0.14537037037037037)","(0.5348958333333333, -0.06018518518518518)",1,1,0,,,
-307.9,"(nan, nan)","(0.5427083333333333, -0.11851851851851852)",0,1,0,,,
-303.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-299.9,"(nan, nan)","(0.5536458333333333, -0.08796296296296297)",0,1,0,,,
-295.9,"(0.5828125, -0.08425925925925926)","(0.55, -0.07222222222222222)",1,1,0,,,
-291.9,"(nan, nan)","(0.5458333333333333, -0.14166666666666666)",0,1,0,,,
-287.9,"(0.5953125, -0.03796296296296296)","(0.5572916666666666, -0.14629629629629629)",1,1,0,,,
-283.9,"(0.5546875, -0.07592592592592592)","(0.5427083333333333, -0.1259259259259259)",1,1,0,,,
-279.9,"(nan, nan)","(0.5354166666666667, -0.12037037037037036)",0,1,1,,,
-275.9,"(nan, nan)","(0.5427083333333333, -0.12407407407407407)",0,1,0,,,
-271.9,"(nan, nan)","(0.5505208333333333, -0.10740740740740741)",0,1,0,,,
-267.9,"(nan, nan)","(0.5296875, -0.09351851851851851)",0,1,1,,,
-263.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-259.9,"(0.559375, -0.13240740740740742)","(0.55, -0.04537037037037037)",1,1,0,,,
-255.9,"(nan, nan)","(0.5416666666666666, -0.09722222222222222)",0,1,0,,,
-251.9,"(nan, nan)","(0.5520833333333334, -0.08888888888888889)",0,1,0,,,
-247.9,"(0.578125, -0.17314814814814813)","(0.5447916666666667, -0.125)",1,1,0,,,
-243.9,"(nan, nan)","(0.55, -0.11666666666666667)",0,1,0,,,
-239.9,"(nan, nan)","(0.5588541666666667, -0.12407407407407407)",0,1,0,,,
-235.9,"(nan, nan)","(0.5666666666666667, -0.1175925925925926)",0,1,0,,,
-231.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-227.9,"(0.5703125, -0.11944444444444445)","(nan, nan)",1,0,0,,,
-223.9,"(nan, nan)","(0.5557291666666667, -0.10092592592592593)",0,1,0,,,
-219.9,"(nan, nan)","(0.5453125, -0.10092592592592593)",0,1,0,,,
-215.9,"(nan, nan)","(0.5588541666666667, -0.12222222222222222)",0,1,0,,,
-211.9,"(nan, nan)","(0.5489583333333333, -0.10277777777777777)",0,1,0,,,
-207.9,"(nan, nan)","(0.5427083333333333, -0.15555555555555556)",0,1,0,,,
-203.9,"(0.5630208333333333, -0.08981481481481482)","(0.56875, -0.09166666666666666)",1,1,0,,,
-199.9,"(0.5609375, -0.13518518518518519)","(0.5390625, -0.11388888888888889)",1,1,0,,,
-195.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-191.9,"(nan, nan)","(0.5609375, -0.11388888888888889)",0,1,0,,,
-187.9,"(nan, nan)","(0.5505208333333333, -0.11944444444444445)",0,1,0,,,
-183.9,"(nan, nan)","(0.5520833333333334, -0.11388888888888889)",0,1,0,,,
-179.9,"(nan, nan)","(0.54375, -0.14722222222222223)",0,1,0,,,
-175.9,"(nan, nan)","(0.5479166666666667, -0.15185185185185185)",0,1,0,,,
-171.9,"(0.5713541666666667, -0.03518518518518519)","(0.55, -0.13703703703703704)",1,1,0,,,
-167.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-163.9,"(nan, nan)","(0.540625, -0.11388888888888889)",0,1,0,,,
-159.9,"(0.5755208333333334, -0.07222222222222222)","(0.5640625, -0.10092592592592593)",1,1,0,,,
-155.9,"(0.5614583333333333, -0.05925925925925926)","(0.5692708333333333, -0.10462962962962963)",1,1,0,,,
-151.9,"(0.5479166666666667, -0.06018518518518518)","(0.5604166666666667, -0.058333333333333334)",1,1,0,,,
-147.9,"(nan, nan)","(0.5677083333333334, -0.16111111111111112)",0,1,0,,,
-143.9,"(0.5744791666666667, -0.05)","(0.5380208333333333, -0.1037037037037037)",1,1,0,,,
-139.9,"(nan, nan)","(0.55, -0.10648148148148148)",0,1,0,,,
-135.9,"(nan, nan)","(0.5552083333333333, -0.12129629629629629)",0,1,0,,,
-131.9,"(nan, nan)","(0.5510416666666667, -0.12129629629629629)",0,1,0,,,
-127.9,"(nan, nan)","(0.55625, -0.17685185185185184)",0,1,0,,,
-123.9,"(0.553125, -0.14074074074074075)","(nan, nan)",1,0,0,,,
-119.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-115.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-111.9,"(0.5380208333333333, -0.0962962962962963)","(0.546875, -0.11851851851851852)",1,1,0,,,
-107.9,"(0.5619791666666667, -0.14537037037037037)","(0.5671875, -0.12314814814814815)",1,1,0,,,
-103.9,"(0.5515625, -0.13425925925925927)","(0.5515625, -0.1111111111111111)",1,1,0,,,
-99.9,"(0.5744791666666667, -0.07592592592592592)","(nan, nan)",1,0,0,,,
-95.9,"(nan, nan)","(0.5494791666666666, -0.1259259259259259)",0,1,0,,,
-91.9,"(nan, nan)","(0.5333333333333333, -0.10925925925925926)",0,1,1,,,
-87.9,"(nan, nan)","(0.540625, -0.14074074074074075)",0,1,0,,,
-83.9,"(nan, nan)","(0.5453125, -0.14629629629629629)",0,1,0,,,
-79.9,"(0.6010416666666667, -0.13703703703703704)","(nan, nan)",1,0,0,,,
-75.9,"(nan, nan)","(0.5651041666666666, -0.14722222222222223)",0,1,0,,,
-71.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-67.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-63.9,"(nan, nan)","(0.5291666666666667, -0.11574074074074074)",0,1,1,,,
-59.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-55.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-51.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-47.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-43.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-39.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-35.9,"(0.584375, -0.17685185185185184)","(nan, nan)",1,0,0,,,
-31.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-27.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-23.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-19.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-15.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-11.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-7.9,"(nan, nan)","(nan, nan)",0,0,1,,,
-3.9,"(nan, nan)","(nan, nan)",0,0,1,,,
0.1,"(nan, nan)","(nan, nan)",0,0,1,,,
4.1,"(nan, nan)","(nan, nan)",0,0,1,,,
8.1,"(nan, nan)","(nan, nan)",0,0,1,,,
12.1,"(nan, nan)","(nan, nan)",0,0,1,,,
16.1,"(nan, nan)","(nan, nan)",0,0,1,,,
20.1,"(nan, nan)","(nan, nan)",0,0,1,,,
24.1,"(nan, nan)","(nan, nan)",0,0,1,,,
28.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
32.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
36.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
40.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
44.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
48.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
52.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
56.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
60.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
64.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
68.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
72.1,"(nan, nan)","(0.5364583333333334, -0.14166666666666666)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
76.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
80.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
84.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
88.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
92.1,"(nan, nan)","(0.49322916666666666, -0.07222222222222222)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
96.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
100.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
104.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
108.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
112.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
116.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
120.1,"(nan, nan)","(0.5348958333333333, -0.08981481481481482)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
124.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
128.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
132.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
136.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
140.1,"(nan, nan)","(0.525, -0.09814814814814815)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
144.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
148.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
152.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
156.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
160.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
164.1,"(0.5411458333333333, -0.07407407407407407)","(nan, nan)",1,0,0,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
168.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
172.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
176.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
180.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
184.1,"(nan, nan)","(0.5484375, -0.07222222222222222)",0,1,0,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
188.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
192.1,"(nan, nan)","(0.5380208333333333, -0.11666666666666667)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
196.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
200.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
204.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
208.1,"(nan, nan)","(0.5416666666666666, -0.10185185185185185)",0,1,0,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
212.1,"(nan, nan)","(0.5479166666666667, -0.13796296296296295)",0,1,0,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
216.1,"(nan, nan)","(0.5260416666666666, -0.1712962962962963)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
220.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
224.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
228.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
232.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
236.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
240.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
244.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
248.1,"(nan, nan)","(0.5135416666666667, -0.17037037037037037)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
252.1,"(nan, nan)","(0.5359375, -0.09444444444444444)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
256.1,"(nan, nan)","(0.54375, -0.12777777777777777)",0,1,0,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
260.1,"(nan, nan)","(0.521875, -0.11203703703703703)",0,1,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
264.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
268.1,"(nan, nan)","(nan, nan)",0,0,1,trial_1_Fam.FAM_DUCK.DUCK_FAM_MOV_startAttnGetter,,
